
# Surface 0 of 1 surfaces

# Curve title: ""afm.dat" u 1:2:3"

# IsoCurve 0, 270 points
# x y z type
0.0000000e+00 0.0000000e+00 1.6092754e+03 i
2.0000000e+00 0.0000000e+00 1.3357730e+03 i
4.0000000e+00 0.0000000e+00 1.1122705e+03 i
6.0000000e+00 0.0000000e+00 1.0887681e+03 i
8.0000000e+00 0.0000000e+00 1.2152657e+03 i
1.0000000e+01 0.0000000e+00 8.7509662e+02 i
1.2000000e+01 0.0000000e+00 1.0349275e+03 i
1.4000000e+01 0.0000000e+00 9.1142513e+02 i
1.6000000e+01 0.0000000e+00 7.7125604e+02 i
1.8000000e+01 0.0000000e+00 7.1442029e+02 i
2.0000000e+01 0.0000000e+00 8.2425121e+02 i
2.2000000e+01 0.0000000e+00 1.7340821e+03 i
2.4000000e+01 0.0000000e+00 3.4272464e+03 i
2.6000000e+01 0.0000000e+00 3.6870773e+03 i
2.8000000e+01 0.0000000e+00 3.6135749e+03 i
3.0000000e+01 0.0000000e+00 3.6900725e+03 i
3.2000000e+01 0.0000000e+00 3.5999034e+03 i
3.4000000e+01 0.0000000e+00 3.5930676e+03 i
3.6000000e+01 0.0000000e+00 3.4362319e+03 i
3.8000000e+01 0.0000000e+00 3.6293961e+03 i
4.0000000e+01 0.0000000e+00 3.6225604e+03 i
4.2000000e+01 0.0000000e+00 3.5157246e+03 i
4.4000000e+01 0.0000000e+00 3.4588889e+03 i
4.6000000e+01 0.0000000e+00 3.4187198e+03 i
4.8000000e+01 0.0000000e+00 3.5285507e+03 i
5.0000000e+01 0.0000000e+00 3.1883816e+03 i
5.2000000e+01 0.0000000e+00 2.6648792e+03 i
5.4000000e+01 0.0000000e+00 1.8247101e+03 i
5.6000000e+01 0.0000000e+00 8.5120773e+02 i
5.8000000e+01 0.0000000e+00 7.9437198e+02 i
6.0000000e+01 0.0000000e+00 6.8753623e+02 i
6.2000000e+01 0.0000000e+00 4.1403382e+02 i
6.4000000e+01 0.0000000e+00 1.4053140e+02 i
6.6000000e+01 0.0000000e+00 8.3695651e+01 i
6.8000000e+01 0.0000000e+00 -5.6473431e+01 i
7.0000000e+01 0.0000000e+00 7.5335749e+02 i
7.2000000e+01 0.0000000e+00 8.2985507e+02 i
7.4000000e+01 0.0000000e+00 2.6063527e+03 i
7.6000000e+01 0.0000000e+00 2.3995169e+03 i
7.8000000e+01 0.0000000e+00 2.4260145e+03 i
8.0000000e+01 0.0000000e+00 2.3191787e+03 i
8.2000000e+01 0.0000000e+00 2.2790097e+03 i
8.4000000e+01 0.0000000e+00 2.2555072e+03 i
8.6000000e+01 0.0000000e+00 2.0820048e+03 i
8.8000000e+01 0.0000000e+00 2.0085024e+03 i
0.0000000e+00 2.0000000e+00 1.8526892e+03 i
2.0000000e+00 2.0000000e+00 1.5057656e+03 i
4.0000000e+00 2.0000000e+00 1.2255087e+03 i
6.0000000e+00 2.0000000e+00 1.3285851e+03 i
8.0000000e+00 2.0000000e+00 1.1816616e+03 i
1.0000000e+01 2.0000000e+00 1.2847380e+03 i
1.2000000e+01 2.0000000e+00 1.1544811e+03 i
1.4000000e+01 2.0000000e+00 8.4089080e+02 i
1.6000000e+01 2.0000000e+00 7.6063388e+02 i
1.8000000e+01 2.0000000e+00 7.6371030e+02 i
2.0000000e+01 2.0000000e+00 8.5012005e+02 i
2.2000000e+01 2.0000000e+00 1.5865298e+03 i
2.4000000e+01 2.0000000e+00 1.7229395e+03 i
2.6000000e+01 2.0000000e+00 3.7093493e+03 i
2.8000000e+01 2.0000000e+00 3.7457590e+03 i
3.0000000e+01 2.0000000e+00 3.6821688e+03 i
3.2000000e+01 2.0000000e+00 3.5519119e+03 i
3.4000000e+01 2.0000000e+00 3.5549883e+03 i
3.6000000e+01 2.0000000e+00 3.4747314e+03 i
3.8000000e+01 2.0000000e+00 3.5611411e+03 i
4.0000000e+01 2.0000000e+00 3.6475509e+03 i
4.2000000e+01 2.0000000e+00 3.5006273e+03 i
4.4000000e+01 2.0000000e+00 3.5203704e+03 i
4.6000000e+01 2.0000000e+00 3.4401135e+03 i
4.8000000e+01 2.0000000e+00 3.3265232e+03 i
5.0000000e+01 2.0000000e+00 3.0629330e+03 i
5.2000000e+01 2.0000000e+00 2.7160094e+03 i
5.4000000e+01 2.0000000e+00 1.7690858e+03 i
5.6000000e+01 2.0000000e+00 7.8882888e+02 i
5.8000000e+01 2.0000000e+00 7.0857196e+02 i
6.0000000e+01 2.0000000e+00 6.2831504e+02 i
6.2000000e+01 2.0000000e+00 4.9805813e+02 i
6.4000000e+01 2.0000000e+00 5.1134543e+01 i
6.6000000e+01 2.0000000e+00 4.2109589e+00 i
6.8000000e+01 2.0000000e+00 3.2395404e+02 i
7.0000000e+01 2.0000000e+00 7.6036379e+02 i
7.2000000e+01 2.0000000e+00 2.5801069e+03 i
7.4000000e+01 2.0000000e+00 2.5331833e+03 i
7.6000000e+01 2.0000000e+00 2.4362597e+03 i
7.8000000e+01 2.0000000e+00 2.2393361e+03 i
8.0000000e+01 2.0000000e+00 2.2424125e+03 i
8.2000000e+01 2.0000000e+00 2.0954890e+03 i
8.4000000e+01 2.0000000e+00 1.9485654e+03 i
8.6000000e+01 2.0000000e+00 1.9349751e+03 i
8.8000000e+01 2.0000000e+00 1.9047182e+03 i
0.0000000e+00 4.0000000e+00 1.7707568e+03 i
2.0000000e+00 4.0000000e+00 1.5275575e+03 i
4.0000000e+00 4.0000000e+00 1.3176914e+03 i
6.0000000e+00 4.0000000e+00 1.2244920e+03 i
8.0000000e+00 4.0000000e+00 1.1646260e+03 i
1.0000000e+01 4.0000000e+00 1.2214266e+03 i
1.2000000e+01 4.0000000e+00 1.1448939e+03 i
1.4000000e+01 4.0000000e+00 8.6836115e+02 i
1.6000000e+01 4.0000000e+00 6.7516176e+02 i
1.8000000e+01 4.0000000e+00 6.6529571e+02 i
2.0000000e+01 4.0000000e+00 7.2209632e+02 i
2.2000000e+01 4.0000000e+00 7.6223027e+02 i
2.4000000e+01 4.0000000e+00 3.3190309e+03 i
2.6000000e+01 4.0000000e+00 3.6758315e+03 i
2.8000000e+01 4.0000000e+00 3.4992988e+03 i
3.0000000e+01 4.0000000e+00 3.6560994e+03 i
3.2000000e+01 4.0000000e+00 3.4962333e+03 i
3.4000000e+01 4.0000000e+00 3.5530340e+03 i
3.6000000e+01 4.0000000e+00 3.5765012e+03 i
3.8000000e+01 4.0000000e+00 3.4999685e+03 i
4.0000000e+01 4.0000000e+00 3.4901025e+03 i
4.2000000e+01 4.0000000e+00 3.6302364e+03 i
4.4000000e+01 4.0000000e+00 3.5037037e+03 i
4.6000000e+01 4.0000000e+00 3.3105043e+03 i
4.8000000e+01 4.0000000e+00 3.6006383e+03 i
5.0000000e+01 4.0000000e+00 3.3741055e+03 i
5.2000000e+01 4.0000000e+00 2.6309062e+03 i
5.4000000e+01 4.0000000e+00 1.7377068e+03 i
5.6000000e+01 4.0000000e+00 8.9450739e+02 i
5.8000000e+01 4.0000000e+00 6.6797467e+02 i
6.0000000e+01 4.0000000e+00 6.5810862e+02 i
6.2000000e+01 4.0000000e+00 4.1490923e+02 i
6.4000000e+01 4.0000000e+00 1.8837652e+02 i
6.6000000e+01 4.0000000e+00 -4.8228688e+00 i
6.8000000e+01 4.0000000e+00 -9.8022254e+01 i
7.0000000e+01 4.0000000e+00 7.4211169e+02 i
7.2000000e+01 4.0000000e+00 2.5822456e+03 i
7.4000000e+01 4.0000000e+00 2.4723796e+03 i
7.6000000e+01 4.0000000e+00 2.3125135e+03 i
7.8000000e+01 4.0000000e+00 2.3359808e+03 i
8.0000000e+01 4.0000000e+00 2.2427814e+03 i
8.2000000e+01 4.0000000e+00 1.9995820e+03 i
8.4000000e+01 4.0000000e+00 2.0397160e+03 i
8.6000000e+01 4.0000000e+00 1.9298499e+03 i
8.8000000e+01 4.0000000e+00 2.0033172e+03 i
0.0000000e+00 6.0000000e+00 1.9403542e+03 i
2.0000000e+00 6.0000000e+00 1.5148668e+03 i
4.0000000e+00 6.0000000e+00 1.2060459e+03 i
6.0000000e+00 6.0000000e+00 1.1638918e+03 i
8.0000000e+00 6.0000000e+00 1.3050710e+03 i
1.0000000e+01 6.0000000e+00 1.1629168e+03 i
1.2000000e+01 6.0000000e+00 1.1207627e+03 i
1.4000000e+01 6.0000000e+00 8.4527520e+02 i
1.6000000e+01 6.0000000e+00 6.3645438e+02 i
1.8000000e+01 6.0000000e+00 5.6096690e+02 i
2.0000000e+01 6.0000000e+00 7.5214609e+02 i
2.2000000e+01 6.0000000e+00 1.0599919e+03 i
2.4000000e+01 6.0000000e+00 3.4011711e+03 i
2.6000000e+01 6.0000000e+00 3.6756836e+03 i
2.8000000e+01 6.0000000e+00 3.5335295e+03 i
3.0000000e+01 6.0000000e+00 3.6247087e+03 i
3.2000000e+01 6.0000000e+00 3.6492212e+03 i
3.4000000e+01 6.0000000e+00 3.4404004e+03 i
3.6000000e+01 6.0000000e+00 3.4482462e+03 i
3.8000000e+01 6.0000000e+00 3.4394254e+03 i
4.0000000e+01 6.0000000e+00 3.4639379e+03 i
4.2000000e+01 6.0000000e+00 3.5217838e+03 i
4.4000000e+01 6.0000000e+00 3.4796296e+03 i
4.6000000e+01 6.0000000e+00 3.4374755e+03 i
4.8000000e+01 6.0000000e+00 3.5786547e+03 i
5.0000000e+01 6.0000000e+00 3.1865005e+03 i
5.2000000e+01 6.0000000e+00 2.6943464e+03 i
5.4000000e+01 6.0000000e+00 1.8521922e+03 i
5.6000000e+01 6.0000000e+00 8.6003806e+02 i
5.8000000e+01 6.0000000e+00 6.5121725e+02 i
6.0000000e+01 6.0000000e+00 4.5906310e+02 i
6.2000000e+01 6.0000000e+00 5.0024228e+02 i
6.4000000e+01 6.0000000e+00 -7.5245201e+01 i
6.6000000e+01 6.0000000e+00 -3.4066017e+01 i
6.8000000e+01 6.0000000e+00 2.3779833e+01 i
7.0000000e+01 6.0000000e+00 6.6495902e+02 i
7.2000000e+01 6.0000000e+00 2.5561382e+03 i
7.4000000e+01 6.0000000e+00 2.4973174e+03 i
7.6000000e+01 6.0000000e+00 2.3551632e+03 i
7.8000000e+01 6.0000000e+00 2.3963424e+03 i
8.0000000e+01 6.0000000e+00 2.3208549e+03 i
8.2000000e+01 6.0000000e+00 2.0453675e+03 i
8.4000000e+01 6.0000000e+00 2.0532133e+03 i
8.6000000e+01 6.0000000e+00 2.0277258e+03 i
8.8000000e+01 6.0000000e+00 2.0022383e+03 i
0.0000000e+00 8.0000000e+00 1.9290016e+03 i
2.0000000e+00 8.0000000e+00 1.4931211e+03 i
4.0000000e+00 8.0000000e+00 1.0572405e+03 i
6.0000000e+00 8.0000000e+00 1.2380266e+03 i
8.0000000e+00 8.0000000e+00 1.0854794e+03 i
1.0000000e+01 8.0000000e+00 1.1662656e+03 i
1.2000000e+01 8.0000000e+00 1.0637183e+03 i
1.4000000e+01 8.0000000e+00 7.7783780e+02 i
1.6000000e+01 8.0000000e+00 6.7529059e+02 i
1.8000000e+01 8.0000000e+00 6.0607671e+02 i
2.0000000e+01 8.0000000e+00 7.3686283e+02 i
2.2000000e+01 8.0000000e+00 1.6176490e+03 i
2.4000000e+01 8.0000000e+00 3.2651017e+03 i
2.6000000e+01 8.0000000e+00 3.6458879e+03 i
2.8000000e+01 8.0000000e+00 3.5433407e+03 i
3.0000000e+01 8.0000000e+00 3.4574601e+03 i
3.2000000e+01 8.0000000e+00 3.6215796e+03 i
3.4000000e+01 8.0000000e+00 3.5690324e+03 i
